                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.7381,                 1.2259,                 1.9761,                0.92334,                   0.68,                0.82434,                0.45194,                 1.6979,                 1.4015,                 2.1427,              0.0018733,              0.0018733,              0.0018733
                     35,                  1.719,                  1.245,                 1.9792,                0.83952,                0.83712,                0.85152,                0.43019,                 1.7494,                 1.5693,                  2.171,              0.0018693,              0.0018693,              0.0018693
                     36,                 1.7419,                 1.2047,                 2.0137,                0.79595,                   0.68,                0.77362,                0.38557,                 1.7635,                 1.6082,                 2.1954,              0.0018654,              0.0018654,              0.0018654
                     37,                 1.7887,                 1.2683,                  1.987,                0.93036,                    0.6,                 0.7985,                0.40096,                 1.8627,                 1.3867,                 2.3348,              0.0018614,              0.0018614,              0.0018614
                     38,                 1.7077,                 1.1563,                 1.9243,                0.84817,                    0.8,                0.88928,                0.47366,                 1.7055,                 1.3825,                 2.1073,              0.0018574,              0.0018574,              0.0018574
                     39,                 1.7839,                  1.233,                 1.9771,                0.94958,                0.75366,                0.88004,                0.40677,                 1.9114,                 1.1744,                 2.2846,              0.0018535,              0.0018535,              0.0018535
                     40,                 1.7766,                 1.2151,                 1.9447,                0.69462,                   0.76,                0.80621,                0.37604,                 1.8877,                 1.5144,                  2.247,              0.0018495,              0.0018495,              0.0018495
                     41,                 1.7496,                 1.1938,                 1.9337,                0.91249,                   0.64,                0.82376,                0.42504,                 1.8457,                 1.2318,                 2.1987,              0.0018456,              0.0018456,              0.0018456
                     42,                 1.6608,                 1.1483,                 1.8799,                 0.8071,                    0.6,                0.79422,                0.44711,                 1.6633,                 1.3794,                 2.0872,              0.0018416,              0.0018416,              0.0018416
                     43,                 1.7207,                 1.1401,                 1.8843,                 0.8225,                   0.76,                0.77943,                0.41029,                 1.8533,                 1.2802,                 2.2391,              0.0018376,              0.0018376,              0.0018376
                     44,                 1.6537,                 1.0942,                 1.8787,                 0.8556,                0.71138,                0.81051,                0.42512,                 1.8297,                 1.1732,                 2.1846,              0.0018337,              0.0018337,              0.0018337
                     45,                 1.6757,                 1.1101,                 1.9031,                0.95164,                0.78757,                0.87203,                0.43201,                 1.9391,                 1.1656,                   2.27,              0.0018297,              0.0018297,              0.0018297
                     46,                 1.7044,                 1.1494,                 1.8803,                0.86165,                    0.8,                0.87256,                0.45244,                  1.723,                 1.1885,                 2.1062,              0.0018258,              0.0018258,              0.0018258
                     47,                 1.6813,                 1.1152,                 1.8947,                0.93796,                   0.84,                0.90757,                0.48032,                 1.6644,                 1.3015,                 2.0553,              0.0018218,              0.0018218,              0.0018218
                     48,                 1.6241,                 1.1241,                 1.8417,                0.92586,                   0.76,                0.87245,                0.44331,                 1.8523,                 1.1388,                 2.2356,              0.0018178,              0.0018178,              0.0018178
                     49,                 1.6679,                 1.0414,                   1.84,                0.90696,                0.78028,                0.90704,                0.46714,                 1.7457,                 1.2717,                 2.0981,              0.0018139,              0.0018139,              0.0018139
                     50,                  1.611,                 1.0882,                  1.862,                0.83288,                   0.92,                0.86749,                0.48194,                 1.5777,                 1.3377,                 1.9789,              0.0018099,              0.0018099,              0.0018099
                     51,                 1.5229,                 1.0494,                 1.7791,                0.90996,                   0.72,                 0.8713,                0.40807,                 1.8415,                 1.2835,                 2.2221,               0.001806,               0.001806,               0.001806
                     52,                 1.6232,                 1.0271,                 1.8382,                0.91535,                0.86545,                0.91015,                0.49833,                  1.674,                 1.0514,                 2.0435,               0.001802,               0.001802,               0.001802
                     53,                 1.5624,                0.97732,                 1.7924,                0.78665,                   0.76,                0.74632,                0.40711,                 1.8327,                 1.1537,                 2.2388,               0.001798,               0.001798,               0.001798
                     54,                  1.612,                 1.0351,                    1.8,                0.88142,                0.89232,                0.91145,                0.49088,                  1.714,                 1.0439,                   2.01,              0.0017941,              0.0017941,              0.0017941
                     55,                 1.4675,                0.94807,                 1.7405,                0.87041,                0.80619,                0.90464,                0.51465,                 1.6138,                 1.0223,                 1.9757,              0.0017901,              0.0017901,              0.0017901
                     56,                 1.6224,                0.98115,                 1.8135,                0.87226,                   0.88,                0.88856,                0.50383,                 1.6684,                 1.0213,                 2.0702,              0.0017862,              0.0017862,              0.0017862
                     57,                 1.5866,                 1.0037,                 1.7842,                0.87497,                   0.88,                0.92724,                0.51964,                 1.5592,                 1.0418,                 1.9473,              0.0017822,              0.0017822,              0.0017822
