                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    148,                 1.2074,                0.68515,                 1.4515,                 0.9176,                   0.92,                 0.9723,                0.56811,                 1.4593,                 1.0255,                 1.8053,              0.0014218,              0.0014218,              0.0014218
                    149,                 1.1826,                0.68838,                  1.454,                0.88158,                0.89368,                0.95879,                0.56481,                 1.4461,                 1.0427,                 1.8532,              0.0014179,              0.0014179,              0.0014179
                    150,                 1.1999,                0.67285,                 1.4391,                      1,                 0.9199,                0.98673,                0.60489,                 1.4404,                0.73615,                 1.7726,              0.0014139,              0.0014139,              0.0014139
                    151,                 1.2599,                 0.6895,                 1.4551,                0.92916,                   0.88,                0.94926,                0.51478,                 1.5658,                0.81092,                 2.0756,                0.00141,                0.00141,                0.00141
                    152,                 1.3171,                0.71247,                  1.485,                0.95758,                0.90326,                0.95506,                0.58229,                 1.4211,                 0.8818,                 1.8173,               0.001406,               0.001406,               0.001406
                    153,                 1.2047,                0.70153,                 1.4777,                0.95705,                0.89166,                0.94622,                 0.5417,                 1.5611,                0.81716,                 1.9394,               0.001402,               0.001402,               0.001402
                    154,                 1.2372,                0.68305,                 1.4254,                0.99337,                   0.88,                0.94079,                0.57006,                  1.509,                0.82011,                 1.8326,              0.0013981,              0.0013981,              0.0013981
                    155,                 1.1627,                0.67701,                 1.4001,                 0.9899,                   0.92,                 0.9628,                0.61018,                  1.342,                0.73707,                  1.654,              0.0013941,              0.0013941,              0.0013941
                    156,                 1.1758,                0.69274,                 1.4472,                0.98928,                   0.92,                0.96848,                0.59713,                   1.45,                0.74451,                 1.7491,              0.0013902,              0.0013902,              0.0013902
                    157,                 1.1733,                0.67681,                 1.4038,                0.98996,                   0.88,                0.92814,                0.56428,                 1.4133,                0.77513,                 1.7538,              0.0013862,              0.0013862,              0.0013862
                    158,                 1.1509,                0.66821,                 1.4062,                0.94593,                   0.92,                0.94472,                0.61599,                 1.3821,                0.76073,                 1.6663,              0.0013822,              0.0013822,              0.0013822
                    159,                 1.1661,                0.65051,                 1.4292,                 0.9866,                   0.88,                0.97158,                0.61311,                 1.4438,                0.66031,                 1.7843,              0.0013783,              0.0013783,              0.0013783
                    160,                 1.1301,                0.69816,                 1.3948,                0.98624,                   0.96,                0.97461,                0.62197,                 1.4576,                0.68178,                 1.8328,              0.0013743,              0.0013743,              0.0013743
                    161,                 1.1624,                0.66583,                 1.3702,                0.99173,                   0.92,                0.98223,                0.61541,                 1.3743,                0.68566,                 1.7976,              0.0013704,              0.0013704,              0.0013704
                    162,                 1.1182,                0.63299,                 1.3623,                0.99494,                   0.92,                0.98504,                0.64049,                 1.4086,                0.71756,                 1.6831,              0.0013664,              0.0013664,              0.0013664
                    163,                  1.109,                0.63293,                 1.3863,                      1,                0.95132,                0.98948,                0.63921,                 1.3416,                 0.6501,                 1.6847,              0.0013624,              0.0013624,              0.0013624
                    164,                 1.1791,                0.68687,                 1.4033,                      1,                0.95639,                0.98726,                 0.5797,                 1.3514,                0.72128,                 1.6817,              0.0013585,              0.0013585,              0.0013585
                    165,                 1.0993,                0.66038,                 1.3846,                0.99191,                   0.96,                 0.9853,                0.63517,                 1.3644,                0.69178,                 1.6811,              0.0013545,              0.0013545,              0.0013545
                    166,                 1.0759,                0.60913,                 1.3437,                0.91667,                   0.96,                0.96809,                 0.6061,                 1.3246,                0.72403,                  1.734,              0.0013506,              0.0013506,              0.0013506
                    167,                 1.1024,                0.64176,                 1.3972,                 0.9195,                   0.92,                0.95801,                0.58989,                 1.3269,                0.74171,                 1.6696,              0.0013466,              0.0013466,              0.0013466
                    168,                 1.1027,                0.68164,                  1.412,                0.96339,                   0.92,                0.97556,                0.61048,                 1.3341,                0.69316,                 1.7127,              0.0013426,              0.0013426,              0.0013426
                    169,                 1.1756,                 0.6686,                 1.4338,                      1,                0.91473,                0.96979,                0.58773,                 1.3842,                0.71497,                 1.7306,              0.0013387,              0.0013387,              0.0013387
                    170,                 1.0802,                0.65864,                 1.3717,                0.93549,                   0.88,                0.93503,                0.57068,                 1.3901,                0.74916,                 1.7423,              0.0013347,              0.0013347,              0.0013347
                    171,                 1.0975,                0.67293,                  1.355,                0.95239,                   0.92,                0.94763,                0.58222,                 1.4018,                0.80014,                 1.6788,              0.0013308,              0.0013308,              0.0013308
                    172,                 1.1144,                0.67485,                 1.3647,                0.99078,                   0.92,                0.97758,                0.59027,                 1.4413,                0.72967,                 1.7375,              0.0013268,              0.0013268,              0.0013268
                    173,                 1.1773,                 0.6754,                 1.3644,                0.99799,                   0.96,                0.98357,                0.61933,                 1.4223,                0.72183,                 1.6954,              0.0013228,              0.0013228,              0.0013228
                    174,                 1.0938,                0.63175,                 1.3762,                0.99336,                   0.92,                0.98167,                0.61441,                 1.2939,                0.63489,                 1.6441,              0.0013189,              0.0013189,              0.0013189
                    175,                 1.1483,                0.63514,                  1.376,                      1,                0.91096,                0.95009,                0.60141,                  1.334,                0.69198,                 1.6738,              0.0013149,              0.0013149,              0.0013149
                    176,                 1.1261,                0.66136,                 1.3617,                0.95683,                   0.92,                0.98056,                 0.6143,                 1.3598,                0.70916,                 1.7201,               0.001311,               0.001311,               0.001311
                    177,                  1.041,                 0.6158,                 1.3462,                0.98615,                   0.88,                0.97961,                0.59276,                 1.4577,                0.69438,                 1.7314,               0.001307,               0.001307,               0.001307
                    178,                 1.0847,                0.67394,                 1.3788,                0.98701,                   0.96,                0.98948,                0.61374,                  1.401,                0.72713,                 1.7708,               0.001303,               0.001303,               0.001303
                    179,                 1.1299,                0.64788,                 1.3765,                0.91568,                   0.92,                  0.967,                0.58526,                 1.3894,                0.78087,                 1.7394,              0.0012991,              0.0012991,              0.0012991
                    180,                 1.1319,                0.66167,                 1.3744,                0.90835,                   0.92,                0.94917,                0.58407,                 1.4687,                0.75577,                 1.7916,              0.0012951,              0.0012951,              0.0012951
                    181,                 1.0762,                0.64847,                 1.4139,                0.96113,                0.98951,                0.99346,                0.61026,                 1.3721,                0.64613,                 1.8137,              0.0012912,              0.0012912,              0.0012912
                    182,                 1.1079,                0.61972,                 1.3943,                0.98209,                   0.88,                0.97861,                0.57533,                 1.4265,                0.68819,                 1.8895,              0.0012872,              0.0012872,              0.0012872
                    183,                  1.105,                0.62603,                 1.3545,                0.92228,                 0.9496,                0.98359,                0.62259,                 1.4426,                0.63966,                 1.8109,              0.0012832,              0.0012832,              0.0012832
                    184,                 1.1455,                 0.6369,                  1.382,                0.99392,                   0.96,                0.97015,                0.61307,                 1.3427,                0.69163,                 1.6314,              0.0012793,              0.0012793,              0.0012793
                    185,                 1.0931,                0.61069,                  1.365,                0.95254,                   0.92,                0.93064,                0.57452,                  1.321,                0.79526,                 1.6315,              0.0012753,              0.0012753,              0.0012753
                    186,                 1.0631,                0.63586,                 1.3387,                0.99162,                   0.92,                0.93972,                0.58485,                  1.377,                0.73697,                 1.7671,              0.0012714,              0.0012714,              0.0012714
                    187,                 1.0446,                0.58558,                 1.3219,                0.98705,                   0.92,                0.94368,                0.57104,                 1.3961,                 0.7658,                 1.7605,              0.0012674,              0.0012674,              0.0012674
                    188,                 1.1464,                0.66426,                 1.3944,                0.98228,                   0.92,                 0.9732,                0.56974,                 1.4196,                0.69973,                 1.7414,              0.0012634,              0.0012634,              0.0012634
                    189,                  1.025,                0.61754,                 1.3301,                0.95577,                   0.92,                0.94891,                0.61088,                 1.3473,                0.69069,                 1.6389,              0.0012595,              0.0012595,              0.0012595
                    190,                 1.0693,                0.60402,                  1.305,                0.99618,                   0.92,                0.94123,                0.59401,                  1.388,                 0.7119,                 1.6797,              0.0012555,              0.0012555,              0.0012555
                    191,                 1.0339,                0.61128,                 1.2982,                 0.9918,                   0.92,                0.93727,                0.59316,                 1.4276,                0.78854,                 1.6713,              0.0012516,              0.0012516,              0.0012516
                    192,                 1.0674,                0.61138,                 1.3275,                0.99015,                   0.92,                0.95604,                0.61093,                 1.2983,                0.71661,                  1.667,              0.0012476,              0.0012476,              0.0012476
                    193,                 1.0372,                0.61216,                 1.3582,                      1,                0.95217,                0.96816,                0.59997,                 1.3755,                0.64761,                 1.6826,              0.0012436,              0.0012436,              0.0012436
                    194,                 1.0606,                0.59614,                 1.3254,                 0.9903,                   0.96,                0.98278,                0.61799,                 1.4056,                0.62327,                 1.7049,              0.0012397,              0.0012397,              0.0012397
                    195,                 1.0377,                0.59532,                 1.2983,                0.98842,                   0.92,                0.98526,                0.64471,                 1.2973,                0.59662,                 1.6152,              0.0012357,              0.0012357,              0.0012357
                    196,                 1.1316,                0.64548,                 1.3731,                0.99104,                      1,                  0.995,                  0.655,                 1.3434,                0.62797,                 1.6058,              0.0012318,              0.0012318,              0.0012318
                    197,                 1.0568,                0.63326,                 1.3253,                 0.8905,                0.97622,                0.98597,                0.60159,                 1.4022,                0.63915,                 1.6492,              0.0012278,              0.0012278,              0.0012278
                    198,                  1.063,                0.62357,                 1.3478,                0.99692,                   0.92,                0.97429,                0.62016,                 1.3912,                0.67238,                  1.636,              0.0012238,              0.0012238,              0.0012238
                    199,                 1.0347,                0.60623,                 1.3398,                 0.9874,                   0.92,                 0.9732,                0.60267,                 1.3559,                0.68707,                  1.639,              0.0012199,              0.0012199,              0.0012199
                    200,                 1.0669,                0.60761,                 1.3621,                0.99296,                   0.92,                0.98911,                0.57842,                 1.3915,                0.70914,                 1.7471,              0.0012159,              0.0012159,              0.0012159
                    201,                 1.0416,                0.61539,                 1.2839,                 0.9178,                   0.96,                0.98431,                0.58603,                 1.4226,                0.70356,                 1.6839,               0.001212,               0.001212,               0.001212
                    202,                 1.0543,                0.60104,                 1.3134,                0.95611,                0.87173,                0.96289,                0.57154,                   1.38,                0.66397,                 1.7689,               0.001208,               0.001208,               0.001208
                    203,                 1.0392,                0.59356,                 1.3029,                0.95409,                0.83163,                0.88489,                0.54653,                 1.4051,                0.92377,                 1.7692,               0.001204,               0.001204,               0.001204
                    204,                 1.0382,                0.58301,                 1.3044,                 0.9769,                   0.88,                0.94078,                0.59362,                 1.4181,                0.71325,                 1.6862,              0.0012001,              0.0012001,              0.0012001
                    205,                 1.0041,                 0.5975,                 1.3306,                0.95996,                 0.9591,                0.97381,                0.65498,                 1.3313,                0.60564,                 1.6545,              0.0011961,              0.0011961,              0.0011961
                    206,                  1.071,                 0.5988,                 1.3078,                0.95462,                0.84145,                0.92595,                0.60601,                 1.3627,                0.77505,                 1.7836,              0.0011922,              0.0011922,              0.0011922
                    207,                 1.0692,                0.60151,                 1.2947,                 0.9979,                   0.92,                0.96909,                0.63557,                  1.262,                0.72054,                 1.6143,              0.0011882,              0.0011882,              0.0011882
                    208,                 1.0438,                0.60463,                 1.3117,                 0.9453,                   0.92,                 0.9681,                0.59745,                 1.3782,                0.70842,                 1.6768,              0.0011842,              0.0011842,              0.0011842
                    209,                 1.0729,                0.61735,                 1.3217,                0.97814,                   0.92,                0.96401,                0.61066,                 1.2806,                0.68077,                 1.6007,              0.0011803,              0.0011803,              0.0011803
                    210,                 1.0151,                0.61068,                 1.3091,                0.95234,                   0.92,                  0.943,                0.59163,                 1.3774,                0.73712,                 1.7431,              0.0011763,              0.0011763,              0.0011763
                    211,                 1.0191,                0.57859,                 1.2984,                0.97826,                   0.88,                0.95861,                0.61978,                  1.291,                0.68101,                 1.5837,              0.0011724,              0.0011724,              0.0011724
                    212,                 1.0276,                0.58658,                 1.2957,                0.98692,                   0.88,                0.97311,                0.64929,                 1.2147,                0.62724,                 1.5542,              0.0011684,              0.0011684,              0.0011684
                    213,                0.99969,                0.56578,                 1.2934,                 0.9211,                0.93427,                0.97723,                0.62625,                 1.1796,                0.63958,                 1.5497,              0.0011644,              0.0011644,              0.0011644
                    214,                0.99917,                0.57523,                 1.2894,                0.94905,                   0.96,                0.97141,                0.63297,                 1.2698,                0.68076,                 1.5717,              0.0011605,              0.0011605,              0.0011605
                    215,                 1.0231,                0.60404,                 1.3008,                0.95952,                0.94851,                0.98673,                0.61501,                 1.3636,                0.64706,                 1.6332,              0.0011565,              0.0011565,              0.0011565
                    216,                 1.0281,                0.59544,                 1.2956,                0.98218,                   0.92,                0.96329,                0.61778,                 1.2916,                0.64702,                 1.6158,              0.0011526,              0.0011526,              0.0011526
                    217,                0.98028,                0.57062,                 1.2603,                0.95529,                   0.96,                0.96927,                 0.6124,                 1.3445,                0.63167,                 1.6665,              0.0011486,              0.0011486,              0.0011486
                    218,                0.95913,                0.56367,                 1.2908,                0.94716,                   0.96,                0.98884,                 0.6194,                 1.3251,                0.63913,                 1.6375,              0.0011446,              0.0011446,              0.0011446
                    219,                 1.0335,                0.57833,                 1.3339,                      1,                0.94737,                0.98948,                0.60236,                 1.3328,                0.72579,                 1.6267,              0.0011407,              0.0011407,              0.0011407
                    220,                 1.0769,                 0.6093,                 1.3065,                 0.9521,                   0.96,                   0.96,                0.59477,                 1.3056,                0.74916,                 1.7015,              0.0011367,              0.0011367,              0.0011367
                    221,                 1.0774,                0.62487,                 1.3577,                 0.9777,                   0.92,                0.97056,                0.64618,                 1.2584,                0.65764,                 1.6308,              0.0011328,              0.0011328,              0.0011328
                    222,                 1.0267,                 0.5613,                 1.2727,                      1,                0.90595,                0.96659,                0.63147,                 1.3307,                0.66228,                 1.6744,              0.0011288,              0.0011288,              0.0011288
                    223,                0.99595,                0.56853,                 1.2876,                0.97845,                   0.92,                 0.9773,                0.69091,                 1.1763,                0.57742,                 1.5514,              0.0011248,              0.0011248,              0.0011248
                    224,                 1.0825,                0.60867,                 1.3496,                0.99182,                   0.92,                  0.967,                0.63258,                 1.2831,                0.63049,                 1.6337,              0.0011209,              0.0011209,              0.0011209
                    225,                 1.0317,                  0.584,                 1.3031,                0.99503,                   0.92,                 0.9336,                0.61585,                  1.267,                0.72064,                   1.59,              0.0011169,              0.0011169,              0.0011169
                    226,                 1.0126,                0.57575,                 1.2974,                0.81245,                   0.92,                 0.9042,                0.58956,                 1.3763,                0.82383,                 1.6837,               0.001113,               0.001113,               0.001113
                    227,                 1.0093,                0.57851,                  1.289,                0.91508,                   0.92,                0.91745,                0.58998,                  1.336,                0.77626,                 1.7246,               0.001109,               0.001109,               0.001109
                    228,                 1.0233,                0.58645,                 1.2704,                0.94642,                   0.92,                0.94712,                0.65028,                 1.2011,                0.69295,                 1.5188,               0.001105,               0.001105,               0.001105
                    229,                 1.0428,                0.59743,                 1.2716,                0.98852,                   0.92,                0.96673,                0.65004,                 1.2775,                0.65546,                 1.6099,              0.0011011,              0.0011011,              0.0011011
                    230,                0.99921,                0.56067,                 1.2677,                0.99272,                   0.92,                0.95948,                0.62314,                 1.2678,                0.64428,                 1.6156,              0.0010971,              0.0010971,              0.0010971
                    231,                0.96154,                0.56486,                 1.2365,                0.99291,                   0.92,                0.95352,                 0.6172,                  1.266,                0.64441,                 1.5885,              0.0010932,              0.0010932,              0.0010932
                    232,                0.98871,                0.56604,                 1.2966,                 0.9929,                   0.92,                0.98643,                0.63615,                  1.263,                0.61333,                 1.5587,              0.0010892,              0.0010892,              0.0010892
                    233,                0.99363,                0.56414,                 1.2798,                      1,                 0.9101,                0.94793,                0.60295,                 1.3834,                0.66337,                 1.7171,              0.0010852,              0.0010852,              0.0010852
                    234,                 0.9454,                0.54768,                 1.2475,                0.94275,                   0.92,                0.94432,                0.61092,                  1.364,                0.67582,                 1.6814,              0.0010813,              0.0010813,              0.0010813
                    235,                0.97733,                0.53576,                 1.2678,                0.99472,                   0.92,                0.95254,                0.62549,                 1.3096,                0.66931,                 1.6739,              0.0010773,              0.0010773,              0.0010773
                    236,                 1.0159,                0.58848,                 1.2778,                0.95763,                   0.92,                0.97493,                0.60714,                  1.314,                0.66037,                 1.6347,              0.0010734,              0.0010734,              0.0010734
                    237,                0.97706,                0.55617,                 1.2817,                0.98138,                   0.92,                0.97266,                0.59836,                 1.4222,                0.68778,                 1.7573,              0.0010694,              0.0010694,              0.0010694
                    238,                0.97882,                0.56602,                 1.2914,                0.97915,                   0.96,                0.98357,                0.62713,                 1.3051,                0.62015,                  1.664,              0.0010654,              0.0010654,              0.0010654
                    239,                0.96519,                0.55653,                 1.2607,                      1,                0.95292,                 0.9853,                0.62109,                 1.3295,                0.60895,                 1.6086,              0.0010615,              0.0010615,              0.0010615
                    240,                0.97287,                0.55546,                  1.267,                0.94832,                   0.92,                0.96867,                0.63423,                 1.2791,                0.67273,                 1.6299,              0.0010575,              0.0010575,              0.0010575
                    241,                 1.0022,                0.56556,                 1.2895,                0.91432,                   0.92,                0.95197,                 0.6463,                 1.2738,                0.67188,                   1.61,              0.0010536,              0.0010536,              0.0010536
                    242,                0.99535,                0.54113,                 1.2634,                      1,                0.91632,                0.95935,                0.63299,                 1.3065,                0.69146,                 1.6858,              0.0010496,              0.0010496,              0.0010496
                    243,                0.93113,                0.55686,                 1.2552,                0.98963,                   0.92,                0.97278,                0.61436,                 1.2369,                 0.6527,                 1.6403,              0.0010456,              0.0010456,              0.0010456
                    244,                0.92507,                0.53497,                 1.2289,                0.98574,                   0.96,                0.97352,                 0.6308,                 1.3381,                0.61506,                 1.6874,              0.0010417,              0.0010417,              0.0010417
                    245,                 0.9285,                0.54115,                 1.2429,                0.99518,                   0.96,                0.98441,                0.63497,                  1.326,                 0.6444,                 1.7159,              0.0010377,              0.0010377,              0.0010377
                    246,                0.96362,                0.57446,                 1.2624,                0.99878,                   0.96,                0.99346,                0.65874,                 1.2925,                0.62654,                 1.7147,              0.0010338,              0.0010338,              0.0010338
                    247,                0.94483,                0.53845,                 1.2485,                      1,                0.95912,                0.99346,                0.63748,                 1.3043,                0.56943,                 1.7136,              0.0010298,              0.0010298,              0.0010298
                    248,                0.94476,                0.55566,                 1.2731,                0.95309,                   0.92,                0.94533,                0.62391,                 1.3502,                0.60578,                 1.6919,              0.0010258,              0.0010258,              0.0010258
                    249,                 1.0078,                0.57128,                 1.2852,                0.95452,                   0.96,                0.96953,                0.62694,                 1.4005,                0.61708,                 1.7276,              0.0010219,              0.0010219,              0.0010219
                    250,                0.97002,                0.52531,                 1.2283,                0.95587,                   0.96,                0.97674,                   0.64,                 1.2805,                0.61344,                 1.6605,              0.0010179,              0.0010179,              0.0010179
                    251,                0.97785,                 0.5411,                 1.2593,                      1,                0.95715,                0.97254,                0.59511,                 1.3363,                0.64649,                 1.7311,               0.001014,               0.001014,               0.001014
                    252,                0.97659,                 0.5583,                 1.2716,                0.99117,                   0.88,                0.95964,                 0.5822,                 1.3572,                0.61768,                 1.7429,                0.00101,                0.00101,                0.00101
                    253,                0.88503,                0.52673,                 1.2291,                      1,                0.91986,                0.98197,                0.62551,                 1.3224,                0.59823,                 1.6872,               0.001006,               0.001006,               0.001006
                    254,                0.93073,                0.55948,                 1.2508,                0.94801,                      1,                0.98885,                0.64072,                 1.2328,                0.59271,                 1.6343,              0.0010021,              0.0010021,              0.0010021
                    255,                0.95833,                0.52847,                 1.2215,                0.94597,                   0.96,                0.97446,                0.63503,                  1.217,                0.62593,                 1.5784,             0.00099812,             0.00099812,             0.00099812
                    256,                0.93779,                0.53527,                 1.2321,                0.95955,                 0.9491,                0.98037,                0.60945,                 1.3192,                 0.6112,                 1.6455,             0.00099416,             0.00099416,             0.00099416
                    257,                0.92511,                0.51607,                 1.2382,                0.96019,                   0.92,                0.98197,                0.61809,                 1.3274,                0.61239,                 1.6773,              0.0009902,              0.0009902,              0.0009902
                    258,                0.90628,                0.50713,                 1.2338,                0.98883,                   0.92,                0.95459,                 0.6093,                 1.3365,                0.63958,                 1.6808,             0.00098624,             0.00098624,             0.00098624
                    259,                0.93406,                0.55058,                 1.2419,                0.99349,                   0.92,                0.95701,                0.60779,                 1.2504,                0.65277,                 1.6327,             0.00098228,             0.00098228,             0.00098228
                    260,                0.97183,                0.57413,                 1.2457,                      1,                0.95853,                0.96132,                0.59527,                 1.2698,                0.67826,                 1.6355,             0.00097832,             0.00097832,             0.00097832
                    261,                0.98835,                 0.5505,                 1.2409,                0.99159,                   0.92,                0.96062,                 0.5814,                  1.335,                0.69744,                 1.6733,             0.00097436,             0.00097436,             0.00097436
                    262,                0.97261,                0.55463,                 1.2627,                0.99217,                   0.92,                0.95737,                 0.5539,                 1.3776,                0.68448,                 1.6802,              0.0009704,              0.0009704,              0.0009704
                    263,                0.91528,                0.53226,                  1.245,                0.95975,                0.95395,                0.97721,                0.60828,                 1.3355,                0.61439,                  1.699,             0.00096644,             0.00096644,             0.00096644
                    264,                0.91828,                0.50252,                 1.2125,                 0.9511,                   0.92,                0.97658,                0.61545,                 1.3084,                0.64153,                 1.6948,             0.00096248,             0.00096248,             0.00096248
                    265,                0.92822,                0.53134,                 1.2512,                0.99666,                   0.96,                0.99071,                0.65957,                 1.3236,                0.56167,                 1.7017,             0.00095852,             0.00095852,             0.00095852
                    266,                0.92026,                0.51669,                 1.2422,                      1,                0.95332,                0.98833,                0.61089,                 1.3261,                0.55781,                 1.7579,             0.00095456,             0.00095456,             0.00095456
                    267,                0.92063,                0.51694,                 1.2086,                0.92544,                0.99313,                0.98907,                0.57846,                 1.3655,                0.55928,                 1.7891,              0.0009506,              0.0009506,              0.0009506
                    268,                0.91195,                 0.5161,                 1.2145,                0.98976,                   0.92,                0.93814,                0.57429,                 1.3376,                0.70104,                 1.7027,             0.00094664,             0.00094664,             0.00094664
                    269,                0.91432,                0.49702,                 1.1939,                0.95302,                   0.92,                0.95028,                0.61895,                 1.2809,                0.73269,                 1.6013,             0.00094268,             0.00094268,             0.00094268
                    270,                0.92832,                0.52984,                 1.1944,                0.97277,                   0.92,                0.97627,                0.64357,                 1.3142,                 0.6454,                 1.6162,             0.00093872,             0.00093872,             0.00093872
                    271,                0.90926,                0.50888,                 1.2249,                      1,                0.95125,                0.98726,                0.63133,                 1.2907,                0.58736,                 1.6003,             0.00093476,             0.00093476,             0.00093476
                    272,                0.89795,                0.50325,                 1.2036,                0.96116,                0.99021,                0.99192,                0.66515,                 1.2559,                0.60297,                  1.555,              0.0009308,              0.0009308,              0.0009308
                    273,                0.85398,                 0.4998,                 1.1817,                0.95236,                   0.92,                0.97935,                0.62207,                 1.3331,                0.69121,                 1.6102,             0.00092684,             0.00092684,             0.00092684
                    274,                0.89006,                0.50254,                 1.1983,                0.95468,                   0.92,                 0.9563,                0.60365,                 1.3769,                 0.6908,                  1.683,             0.00092288,             0.00092288,             0.00092288
                    275,                0.93539,                0.52079,                 1.2318,                0.97904,                   0.92,                0.95996,                0.59791,                 1.3841,                 0.6889,                 1.7026,             0.00091892,             0.00091892,             0.00091892
                    276,                0.94013,                0.53866,                 1.2281,                 0.9893,                   0.92,                0.97573,                0.60872,                  1.324,                0.62308,                 1.7222,             0.00091496,             0.00091496,             0.00091496
                    277,                0.97055,                0.55694,                 1.2436,                0.95513,                   0.96,                0.98911,                0.61755,                 1.2653,                0.57386,                 1.6215,               0.000911,               0.000911,               0.000911
                    278,                0.94196,                0.53319,                 1.2434,                0.98733,                   0.92,                0.98504,                0.65597,                 1.2501,                0.55615,                  1.591,             0.00090704,             0.00090704,             0.00090704
                    279,                0.91728,                 0.5474,                 1.2388,                0.95974,                0.95381,                0.97721,                0.62181,                 1.2856,                0.60044,                 1.6424,             0.00090308,             0.00090308,             0.00090308
                    280,                0.88737,                0.51004,                 1.1854,                0.95952,                0.94851,                0.96222,                0.64586,                 1.2606,                0.65202,                  1.609,             0.00089912,             0.00089912,             0.00089912
                    281,                0.93002,                0.52956,                 1.2292,                0.95261,                   0.96,                 0.9598,                0.61102,                 1.2826,                0.62666,                  1.641,             0.00089516,             0.00089516,             0.00089516
                    282,                0.90611,                0.52942,                 1.1964,                0.99537,                   0.96,                0.96214,                0.62192,                 1.2881,                 0.6516,                 1.5765,              0.0008912,              0.0008912,              0.0008912
                    283,                0.96977,                 0.5454,                 1.2803,                0.99502,                   0.92,                0.97631,                0.60148,                 1.3176,                 0.6591,                 1.6158,             0.00088724,             0.00088724,             0.00088724
                    284,                0.93207,                 0.5383,                 1.2145,                      1,                0.90907,                0.96339,                0.60214,                 1.3403,                0.63856,                 1.6262,             0.00088328,             0.00088328,             0.00088328
                    285,                0.89683,                 0.5233,                 1.2284,                0.99672,                   0.92,                0.94837,                0.61407,                 1.3275,                0.66027,                 1.6594,             0.00087932,             0.00087932,             0.00087932
                    286,                0.90674,                0.53056,                 1.2316,                      1,                 0.9178,                0.94642,                0.62463,                 1.2924,                0.65998,                 1.6609,             0.00087536,             0.00087536,             0.00087536
                    287,                0.91365,                0.53211,                 1.2253,                0.98317,                   0.88,                0.96411,                0.61729,                 1.2798,                0.68109,                   1.62,              0.0008714,              0.0008714,              0.0008714
                    288,                0.91469,                0.51244,                 1.2461,                0.98989,                   0.96,                0.98833,                0.62164,                 1.2841,                0.55143,                 1.6702,             0.00086744,             0.00086744,             0.00086744
                    289,                0.92472,                0.51669,                 1.2536,                0.98641,                   0.96,                0.98948,                0.61695,                 1.3075,                0.59119,                 1.6524,             0.00086348,             0.00086348,             0.00086348
                    290,                0.91273,                0.52793,                 1.2207,                0.99031,                   0.88,                0.96338,                0.63314,                 1.2902,                 0.6228,                 1.6354,             0.00085952,             0.00085952,             0.00085952
                    291,                0.88128,                0.51908,                  1.214,                0.94974,                   0.92,                0.95553,                 0.5996,                 1.3961,                0.65522,                 1.7621,             0.00085556,             0.00085556,             0.00085556
                    292,                0.90836,                0.50906,                 1.2216,                0.99553,                   0.92,                0.96039,                0.61827,                 1.3949,                0.57869,                 1.7081,              0.0008516,              0.0008516,              0.0008516
                    293,                0.95531,                0.52494,                 1.2403,                0.99407,                   0.92,                 0.9616,                0.61174,                  1.358,                0.61798,                 1.6614,             0.00084764,             0.00084764,             0.00084764
                    294,                0.84215,                 0.4976,                 1.1689,                0.95185,                   0.92,                0.95746,                0.60662,                 1.2997,                0.63321,                 1.6598,             0.00084368,             0.00084368,             0.00084368
                    295,                0.85112,                0.49244,                 1.1611,                0.95288,                   0.92,                0.96704,                0.61423,                 1.2966,                0.63312,                 1.6732,             0.00083972,             0.00083972,             0.00083972
                    296,                0.87881,                0.49119,                  1.197,                 0.9959,                   0.92,                 0.9269,                0.62454,                 1.2649,                0.66167,                 1.6427,             0.00083576,             0.00083576,             0.00083576
                    297,                0.86721,                0.51285,                  1.201,                      1,                0.91879,                0.94884,                0.60337,                 1.2693,                0.64087,                 1.5828,              0.0008318,              0.0008318,              0.0008318
                    298,                0.90011,                0.50672,                 1.2293,                      1,                0.91988,                0.98262,                0.62742,                 1.3395,                0.59471,                 1.6963,             0.00082784,             0.00082784,             0.00082784
                    299,                0.87368,                 0.5057,                 1.2055,                0.99313,                   0.92,                0.98504,                0.63157,                 1.2943,                0.57932,                 1.6321,             0.00082388,             0.00082388,             0.00082388
                    300,                0.85461,                0.49771,                 1.1744,                0.99218,                   0.92,                0.98154,                0.64686,                 1.2929,                0.59096,                 1.6753,             0.00081992,             0.00081992,             0.00081992
                    301,                0.91897,                0.53271,                 1.1923,                 0.9963,                   0.92,                0.95898,                0.58772,                 1.2821,                0.61846,                 1.7101,             0.00081596,             0.00081596,             0.00081596
                    302,                0.89313,                0.52555,                  1.212,                0.99292,                   0.96,                0.97062,                0.60729,                 1.3331,                0.61175,                 1.6338,               0.000812,               0.000812,               0.000812
                    303,                0.90287,                0.51958,                 1.2179,                0.99069,                   0.96,                0.98948,                0.61986,                 1.3106,                0.54489,                 1.7309,             0.00080804,             0.00080804,             0.00080804
                    304,                0.88529,                0.47835,                 1.2107,                0.95737,                   0.96,                0.99044,                0.60736,                  1.273,                0.53982,                 1.6422,             0.00080408,             0.00080408,             0.00080408
